event_address_id,event_address_lIne_1,event_address_lIne_2,event_city,event_state,event_zip,opportunity_name,date
1,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Spark Saturdays:Boolean Logic and Binary Lab,2022-04-27
2,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Spark Saturdays:Programming Lab,2022-04-27
3,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Spark Saturdays:Smart Light Lab,2022-04-27
4,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Spark Saturdays:Sound Sensation Lab,2022-04-27
5,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Spark Saturdays:Radio Lab,2022-04-27
6,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Spark Saturdays:Arduino Lab,2022-04-27
7,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Spark Saturdays:Enegry Harvesting Lab,2022-04-27
8,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Spark Saturdays:Python Ez Interpreter,2022-04-27
9,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Spark Saturdays:Music Manipulation Lab ,2022-04-27
10,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Spark Saturdays:Oscillators Lab,2022-04-27
11,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Snap Circuits Lab,2022-04-27
12,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,CMU Engineering Workshop,2022-04-27
13,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Moving 4th Into Engineering ,2022-04-27
14,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Summer Engineering Experience for Girls (SEE),2022-04-27
15,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,"SUCCEED: the Summer Center for Climate, Energy, and Environmental Decision-making",2022-04-27
16,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Be an Engineer,2022-04-27
17,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,FIRST Robotics Competition (FRC),2022-04-27
18,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,Linguistic Olymiad,2022-04-27
19,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,The Pennsylvania Governor's School for the Sciences (PGSS),2022-04-27
20,5000 Forbes Avenue,Carnegie Mellon University,Pittsburgh,PA,15213,SWE++ Coding Camp,2022-04-27
21,5000 Forbes Avenue,College of Fine Arts Building ,Pittsburgh,PA,15213,Architecture Explorations:Architecture Explorations - Tours ,2022-04-27
22,5000 Forbes Avenue,College of Fine Arts Building ,Pittsburgh,PA,15213,Architecture Explorations:Architecture Explorations - Workshops,2022-04-27
23,5000 Forbes Avenue,College of Fine Arts Building ,Pittsburgh,PA,15213,Architecture Explorations:Architecture Explorations - SATURDAY SEQUENCE,2022-04-27
24,5000 Forbes Avenue,College of Fine Arts Building ,Pittsburgh,PA,15213,Architecture Explorations:Architecture Explorations - SUMMER CAMPS,2022-04-27
25,5000 Forbes Ave #259,Baker Hall,Pittsburgh,PA,15213,Arts Greenhouse:Arts Greenhouse - Studios,2022-04-27
26,5000 Forbes Ave #259,Baker Hall,Pittsburgh,PA,15213,Arts Greenhouse:Trip Tech,2022-04-27
27,5000 Forbes Avenue,Carnegie Mellon Unvisersity,Pittsburgh,PA,15213,CMU Athletic Camps :Men's Plaid Premier ID Camp - Session 1,2022-04-27
28,5000 Forbes Avenue,Carnegie Mellon Unvisersity,Pittsburgh,PA,15213,CMU Athletic Camps :Men's Plaid Premier ID Camp - Session 2,2022-04-27
29,5000 Forbes Avenue,Carnegie Mellon Unvisersity,Pittsburgh,PA,15213,CMU Athletic Camps :Men's Plaid Premier October ID Camp,2022-04-27
30,5000 Forbes Avenue,Carnegie Mellon Unvisersity,Pittsburgh,PA,15213,CMU Athletic Camps :Plaid Premier Boys and Girls Youth Soccer Day Camp,2022-04-27
31,5000 Forbes Avenue,Carnegie Mellon Unvisersity,Pittsburgh,PA,15213,CMU Athletic Camps :Women's Elite ID Residential Camp - Session 1,2022-04-27
32,5000 Forbes Avenue,Carnegie Mellon Unvisersity,Pittsburgh,PA,15213,CMU Athletic Camps :Women's Elite ID Residential Camp - Session 2,2022-04-27
