opportunity_id,description,category,opportunity_type,opportunity_field,age_range,grade_level,phone_number,Ext,website,Images,modality,qualification,paid,cost,source,rating_5_star,org_id,event_address_id,contact_id,program_id,subprogam_id
1,"Part of SPARK Saturdays - a program created by volunteers studying Electrical and Computer Engineering at Carnegie Mellon University that aims to introduce beginners to concepts within electrical and computer engineering and expose them to engineering as a potential career choice. SPARK Saturdays is structured to be six sessions, held on campus about every other Saturday. Each session lasts two hours and consist of a learning portion and a hands-on activity, led by CMU students. The entire SPARK Saturdays series is held once every semester, and aimed at high school students. No prior knowledge on the part of the students is assumed. The sessions are structured to introduce students to a wide variety of electrical and computer engineering concepts to help them decide whether this might be a good career path for them.


",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,http://eceoutreach.ece.cmu.edu/spark-saturdays/program.html,,0,"Be high school students during the time the sessions will take place.
Be able to attend all sessions. Due to limited space, we really want to make sure students who sign up will be able to make it to all the sessions. This will also help students gain the most from their experience.",0,$5.00,Gelfand Center,,1,1,,1,1
2,"Part of SPARK Saturdays - a program created by volunteers studying Electrical and Computer Engineering at Carnegie Mellon University that aims to introduce beginners to concepts within electrical and computer engineering and expose them to engineering as a potential career choice. SPARK Saturdays is structured to be six sessions, held on campus about every other Saturday. Each session lasts two hours and consist of a learning portion and a hands-on activity, led by CMU students. The entire SPARK Saturdays series is held once every semester, and aimed at high school students. No prior knowledge on the part of the students is assumed. The sessions are structured to introduce students to a wide variety of electrical and computer engineering concepts to help them decide whether this might be a good career path for them.


",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,http://eceoutreach.ece.cmu.edu/spark-saturdays/program.html,,0,"Be high school students during the time the sessions will take place.
Be able to attend all sessions. Due to limited space, we really want to make sure students who sign up will be able to make it to all the sessions. This will also help students gain the most from their experience.",0,$5.00,Gelfand Center,,1,2,,1,2
3,"Part of SPARK Saturdays - a program created by volunteers studying Electrical and Computer Engineering at Carnegie Mellon University that aims to introduce beginners to concepts within electrical and computer engineering and expose them to engineering as a potential career choice. SPARK Saturdays is structured to be six sessions, held on campus about every other Saturday. Each session lasts two hours and consist of a learning portion and a hands-on activity, led by CMU students. The entire SPARK Saturdays series is held once every semester, and aimed at high school students. No prior knowledge on the part of the students is assumed. The sessions are structured to introduce students to a wide variety of electrical and computer engineering concepts to help them decide whether this might be a good career path for them.


",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,http://eceoutreach.ece.cmu.edu/spark-saturdays/program.html,,0,"Be high school students during the time the sessions will take place.
Be able to attend all sessions. Due to limited space, we really want to make sure students who sign up will be able to make it to all the sessions. This will also help students gain the most from their experience.",0,$5.00,Gelfand Center,,1,3,,1,3
4,"Part of SPARK Saturdays - a program created by volunteers studying Electrical and Computer Engineering at Carnegie Mellon University that aims to introduce beginners to concepts within electrical and computer engineering and expose them to engineering as a potential career choice. SPARK Saturdays is structured to be six sessions, held on campus about every other Saturday. Each session lasts two hours and consist of a learning portion and a hands-on activity, led by CMU students. The entire SPARK Saturdays series is held once every semester, and aimed at high school students. No prior knowledge on the part of the students is assumed. The sessions are structured to introduce students to a wide variety of electrical and computer engineering concepts to help them decide whether this might be a good career path for them.


",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,http://eceoutreach.ece.cmu.edu/spark-saturdays/program.html,,0,"Be high school students during the time the sessions will take place.
Be able to attend all sessions. Due to limited space, we really want to make sure students who sign up will be able to make it to all the sessions. This will also help students gain the most from their experience.",0,$5.00,Gelfand Center,,1,4,,1,4
5,"Part of SPARK Saturdays - a program created by volunteers studying Electrical and Computer Engineering at Carnegie Mellon University that aims to introduce beginners to concepts within electrical and computer engineering and expose them to engineering as a potential career choice. SPARK Saturdays is structured to be six sessions, held on campus about every other Saturday. Each session lasts two hours and consist of a learning portion and a hands-on activity, led by CMU students. The entire SPARK Saturdays series is held once every semester, and aimed at high school students. No prior knowledge on the part of the students is assumed. The sessions are structured to introduce students to a wide variety of electrical and computer engineering concepts to help them decide whether this might be a good career path for them.


",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,http://eceoutreach.ece.cmu.edu/spark-saturdays/program.html,,0,"Be high school students during the time the sessions will take place.
Be able to attend all sessions. Due to limited space, we really want to make sure students who sign up will be able to make it to all the sessions. This will also help students gain the most from their experience.",0,$5.00,Gelfand Center,,1,5,,1,5
6,"Part of SPARK Saturdays - a program created by volunteers studying Electrical and Computer Engineering at Carnegie Mellon University that aims to introduce beginners to concepts within electrical and computer engineering and expose them to engineering as a potential career choice. SPARK Saturdays is structured to be six sessions, held on campus about every other Saturday. Each session lasts two hours and consist of a learning portion and a hands-on activity, led by CMU students. The entire SPARK Saturdays series is held once every semester, and aimed at high school students. No prior knowledge on the part of the students is assumed. The sessions are structured to introduce students to a wide variety of electrical and computer engineering concepts to help them decide whether this might be a good career path for them.


",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,http://eceoutreach.ece.cmu.edu/spark-saturdays/program.html,,0,"Be high school students during the time the sessions will take place.
Be able to attend all sessions. Due to limited space, we really want to make sure students who sign up will be able to make it to all the sessions. This will also help students gain the most from their experience.",0,$5.00,Gelfand Center,,1,6,,1,6
7,"Part of SPARK Saturdays - a program created by volunteers studying Electrical and Computer Engineering at Carnegie Mellon University that aims to introduce beginners to concepts within electrical and computer engineering and expose them to engineering as a potential career choice. SPARK Saturdays is structured to be six sessions, held on campus about every other Saturday. Each session lasts two hours and consist of a learning portion and a hands-on activity, led by CMU students. The entire SPARK Saturdays series is held once every semester, and aimed at high school students. No prior knowledge on the part of the students is assumed. The sessions are structured to introduce students to a wide variety of electrical and computer engineering concepts to help them decide whether this might be a good career path for them.


",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,http://eceoutreach.ece.cmu.edu/spark-saturdays/program.html,,0,"Be high school students during the time the sessions will take place.
Be able to attend all sessions. Due to limited space, we really want to make sure students who sign up will be able to make it to all the sessions. This will also help students gain the most from their experience.",0,$5.00,Gelfand Center,,1,7,,1,7
8,"Part of SPARK Saturdays - a program created by volunteers studying Electrical and Computer Engineering at Carnegie Mellon University that aims to introduce beginners to concepts within electrical and computer engineering and expose them to engineering as a potential career choice. SPARK Saturdays is structured to be six sessions, held on campus about every other Saturday. Each session lasts two hours and consist of a learning portion and a hands-on activity, led by CMU students. The entire SPARK Saturdays series is held once every semester, and aimed at high school students. No prior knowledge on the part of the students is assumed. The sessions are structured to introduce students to a wide variety of electrical and computer engineering concepts to help them decide whether this might be a good career path for them.


",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,http://eceoutreach.ece.cmu.edu/spark-saturdays/program.html,,0,"Be high school students during the time the sessions will take place.
Be able to attend all sessions. Due to limited space, we really want to make sure students who sign up will be able to make it to all the sessions. This will also help students gain the most from their experience.",0,$5.00,Gelfand Center,,1,8,,1,8
9,"Part of SPARK Saturdays - a program created by volunteers studying Electrical and Computer Engineering at Carnegie Mellon University that aims to introduce beginners to concepts within electrical and computer engineering and expose them to engineering as a potential career choice. SPARK Saturdays is structured to be six sessions, held on campus about every other Saturday. Each session lasts two hours and consist of a learning portion and a hands-on activity, led by CMU students. The entire SPARK Saturdays series is held once every semester, and aimed at high school students. No prior knowledge on the part of the students is assumed. The sessions are structured to introduce students to a wide variety of electrical and computer engineering concepts to help them decide whether this might be a good career path for them.


",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,http://eceoutreach.ece.cmu.edu/spark-saturdays/program.html,,0,"Be high school students during the time the sessions will take place.
Be able to attend all sessions. Due to limited space, we really want to make sure students who sign up will be able to make it to all the sessions. This will also help students gain the most from their experience.",0,$5.00,Gelfand Center,,1,9,,1,9
10,"Part of SPARK Saturdays - a program created by volunteers studying Electrical and Computer Engineering at Carnegie Mellon University that aims to introduce beginners to concepts within electrical and computer engineering and expose them to engineering as a potential career choice. SPARK Saturdays is structured to be six sessions, held on campus about every other Saturday. Each session lasts two hours and consist of a learning portion and a hands-on activity, led by CMU students. The entire SPARK Saturdays series is held once every semester, and aimed at high school students. No prior knowledge on the part of the students is assumed. The sessions are structured to introduce students to a wide variety of electrical and computer engineering concepts to help them decide whether this might be a good career path for them.


",Enrichment Exposure Exploration,Courses/Workshops,Engineering,14-18,High School,,,http://eceoutreach.ece.cmu.edu/spark-saturdays/program.html,,0,"Be high school students during the time the sessions will take place.
Be able to attend all sessions. Due to limited space, we really want to make sure students who sign up will be able to make it to all the sessions. This will also help students gain the most from their experience.",0,$5.00,Gelfand Center,,1,10,,1,10
